image,region_precision,region_recall,region_iou,region_dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot00_aug04.jpg,0.9762070178985596,0.9938734173774719,0.9703676700592041,0.9849609732627869,0.9917846918106079,0.988703727722168,0.9806722402572632,0.9902418255805969
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot15_aug00.jpg,0.9667055010795593,0.9934298396110535,0.9605641961097717,0.9798855185508728,0.9971063137054443,0.9913689494132996,0.9885249733924866,0.9942293763160706
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot15_aug01.jpg,0.9750200510025024,0.9951143264770508,0.9703748226165771,0.9849647283554077,0.9971000552177429,0.9920654296875,0.9892112016677856,0.9945763349533081
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot15_aug02.jpg,0.9723297357559204,0.9933160543441772,0.9660094380378723,0.9827108979225159,0.9953972697257996,0.9941930770874023,0.9896435737609863,0.9947948455810547
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot15_aug03.jpg,0.9745851159095764,0.9945943355560303,0.9694499969482422,0.9844880700111389,0.9974160194396973,0.9929841160774231,0.9904361963272095,0.9951951503753662
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot15_aug04.jpg,0.9719076156616211,0.9948336482048035,0.9670267701148987,0.9832370281219482,0.9962729811668396,0.9918830990791321,0.9882162809371948,0.994073212146759
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot-15_aug00.jpg,0.9762076735496521,0.9953008890151978,0.9717289805412292,0.9856618046760559,0.99906325340271,0.9957982897758484,0.9948694109916687,0.9974281191825867
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot-15_aug01.jpg,0.9816257953643799,0.9931337833404541,0.9750087261199951,0.9873462319374084,0.9961013793945312,0.997803270816803,0.99392169713974,0.9969515800476074
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot-15_aug02.jpg,0.9702469706535339,0.9918705821037292,0.9625922441482544,0.9809396266937256,1.0,0.9967369437217712,0.9967369437217712,0.9983658194541931
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot-15_aug03.jpg,0.9706102013587952,0.9913687705993652,0.9624768495559692,0.9808796644210815,0.9985721111297607,0.9973853230476379,0.9959648847579956,0.9979783296585083
